Fish Name,Physical Description,Object Names
Bigeye snapper,"body: The Bigeye snapper has a moderately deep body with a slightly compressed shape, typically growing to a maximum length of 80 centimeters and weighing up to 13 kilograms, although the average length is around 30-50 centimeters; colors: The body is generally yellowish-brown to bronze in color, with a silvery sheen on the belly, and a series of horizontal yellow stripes on the sides that fade with age; features: It has a pointed snout, a slightly concave forehead, and a distinctive hump on the forehead; the dorsal fin is divided into two parts, with the first part having 10 spines and the second part having 13-15 soft rays; the anal fin has 3 spines and 8-9 soft rays; the scales are small and rough to the touch; unique_marks: A distinctive characteristic of the Bigeye snapper is the large eye, which is larger than the length of the snout, and a series of small blue spots on the operculum and the upper part of the gill cover.","fish_images/Bigeye-snapper/bigeye-snapper-001.png, fish_images/Bigeye-snapper/bigeye-snapper-002.png, fish_images/Bigeye-snapper/bigeye-snapper-003.png"
Humpnose unicorn,"body: The Humpnose unicornfish has an elongated, oval-shaped body that can grow up to 70 centimeters in length, with a relatively flat belly and a prominent hump on the forehead in adults; colors: The body is typically a silvery gray to blue-gray color with a white belly, and a bright yellow stripe running along the sides, from the mouth to the tail, with a second, less prominent yellow stripe above it; features: The Humpnose unicornfish has a distinctive horn-like protrusion on its forehead, large eyes, and a long, pointed snout, with a pair of long, pointed dorsal and anal fins; unique_marks: A distinctive hump on the forehead in adults, a long, pointed snout, and a bright yellow stripe along the sides of the body.","fish_images/Humpnose-unicorn/humpnose-unicorn-001.png, fish_images/Humpnose-unicorn/humpnose-unicorn-002.png, fish_images/Humpnose-unicorn/humpnose-unicorn-003.png"
Red fire goby,"body: The Red fire goby has a slender, elongated body shape, typically growing up to 2-3 inches in length; colors: The primary coloration of the Red fire goby is a vibrant red to reddish-orange hue, with yellow or white highlights on the belly and fins, and often featuring blue or green spots or stripes on the body; features: The Red fire goby has large dorsal and anal fins, with the dorsal fin being notched and the anal fin being pointed, it also has relatively small scales and a rounded head shape; unique_marks: One of the distinctive features of the Red fire goby is the presence of long, thin, pointed pelvic fins that are often used for sensing its surroundings and communicating with other gobies, and its ability to change sex from female to male, a process known as sequential hermaphroditism.","fish_images/Red-fire-goby/red-fire-goby-001.png, fish_images/Red-fire-goby/red-fire-goby-002.png, fish_images/Red-fire-goby/red-fire-goby-003.png"
Palette surgeonfish,"body: The Palette surgeonfish has a laterally compressed, oval-shaped body, typically growing to an average length of 20-25 centimeters, with a maximum recorded length of about 30 centimeters; colors: The fish features a predominantly yellow body with vibrant blue highlights on the fins, snout, and tail, along with distinctive black stripes that run vertically along the body, with a black stripe also present on the snout, and a yellowish-white belly; features: The Palette surgeonfish has a distinctive scalpel-like spine on either side of the caudal peduncle, which is used for defense, as well as large dorsal and anal fins, and a small mouth with numerous small teeth; unique_marks: The species is easily identified by its bright blue highlights and distinctive black stripes, particularly the black stripe running along the snout, as well as the presence of the scalpel-like spines on either side of the caudal peduncle.","fish_images/Palette-surgeonfish/palette-surgeonfish-001.png, fish_images/Palette-surgeonfish/palette-surgeonfish-002.png, fish_images/Palette-surgeonfish/palette-surgeonfish-003.png"
Black-sided hawkfish,"body: The Black-sided hawkfish has an elongated body shape, typically measuring between 8-12 centimeters in length, with a relatively flat profile and a slightly rounded abdomen; colors: The primary coloration of the Black-sided hawkfish is a mottled brown and yellow, with distinctive black stripes running along its sides, while the belly is white or pale yellow; features: The Black-sided hawkfish has a distinctive head shape with a long, pointed snout and large eyes, it has long, pointed dorsal and anal fins, and its scales are relatively small and smooth; unique_marks: A unique identifying characteristic of the Black-sided hawkfish is the presence of a distinctive black stripe running along the middle of its body, from the eye to the base of the tail, as well as a series of smaller black spots along the dorsal fin.","fish_images/Black-sided-hawkfish/black-sided-hawkfish-001.png, fish_images/Black-sided-hawkfish/black-sided-hawkfish-002.png, fish_images/Black-sided-hawkfish/black-sided-hawkfish-003.png"
Teira batfish,"body: The Teira batfish, also known as Platax teira, has a flat, disc-shaped body, typically growing to a length of 20-40 cm and a width of up to 20 cm, with the maximum recorded length being around 70 cm; colors: The species has a mottled brown or greyish-brown coloration with lighter or darker patches, often featuring a distinctive pale yellow or cream-colored belly and darker vertical stripes on the body, especially in juveniles; features: The Teira batfish has long, pointed pectoral and dorsal fins, a rounded anal fin, and a small mouth with relatively small teeth, its scales are small and rough to the touch, and its head is relatively small with a short snout; unique_marks: A distinctive characteristic of the Teira batfish is the presence of long, thread-like pelvic fin rays that extend far beyond the rest of the pelvic fin, as well as its unique mottled color pattern and the ability to change its coloration depending on its surroundings and mood.","fish_images/Teira-batfish/teira-batfish-001.png, fish_images/Teira-batfish/teira-batfish-002.png, fish_images/Teira-batfish/teira-batfish-003.png"
Indian Ocean oriental sweetlips,"body: The Indian Ocean oriental sweetlips has a moderately elongated body shape, typically growing up to 40 centimeters in length, with a relatively compressed body and a rounded abdomen; size: The average length is around 25-30 centimeters, with a maximum recorded length of approximately 45 centimeters; colors: The body is primarily brown to grayish-brown in color, often with a yellowish tint on the belly, and sometimes displaying a subtle horizontal stripe pattern on the sides; features: The species has a relatively small mouth, a convex dorsal profile, and a pointed snout, with a distinctive pattern of yellow stripes on the head and operculum, the dorsal fin is divided into two parts, with 10-11 spines in the first part and 9-10 soft rays in the second part; unique_marks: The most distinctive feature of the Indian Ocean oriental sweetlips is the yellow stripe pattern on the head, which forms a 'V' shape on the forehead, and the presence of relatively large scales that are rough to the touch.","fish_images/Indian-Ocean-oriental-sweetlips/indian-ocean-oriental-sweetlips-001.png, fish_images/Indian-Ocean-oriental-sweetlips/indian-ocean-oriental-sweetlips-002.png, fish_images/Indian-Ocean-oriental-sweetlips/indian-ocean-oriental-sweetlips-003.png"
Blue ring angelfish,"body: The Blue ring angelfish has a flat, oval-shaped body with a rounded abdomen and a slightly pointed snout, typically growing up to 10-15 inches in length; colors: The Blue ring angelfish is primarily yellow with vibrant blue stripes that run along its body, including a distinctive blue ring around its eye, and yellow fins with blue highlights; features: It has long, flowing dorsal and anal fins, as well as a long, pointed snout and small scales that reflect the light; unique_marks: The most distinctive feature of the Blue ring angelfish is the bright blue ring around its eye, which is a key identifying characteristic, along with its vibrant yellow and blue coloration pattern.","fish_images/Blue-ring-angelfish/blue-ring-angelfish-001.png, fish_images/Blue-ring-angelfish/blue-ring-angelfish-002.png, fish_images/Blue-ring-angelfish/blue-ring-angelfish-003.png"
Emperor angelfish,"body: The Emperor angelfish has a flat, oval-shaped body with a slightly compressed profile, typically growing to a size of 12-15 inches in length, with some specimens reaching up to 18 inches; colors: The Emperor angelfish displays striking yellow and blue stripes that run horizontally across its body, with a predominantly yellow face, blue stripes on the body, and long, flowing yellow fins, as well as a blue ring around the eye and blue highlights on the edges of the fins; features: The Emperor angelfish has long, pointed dorsal and anal fins, as well as large, feathery pectoral fins, and its head is rounded with a small mouth; unique_marks: A distinctive characteristic of the Emperor angelfish is the yellow and blue striped pattern, as well as the long, flowing fins that extend beyond the body, and a unique blue ring around the eye that distinguishes it from other angelfish species.","fish_images/Emperor-angelfish/emperor-angelfish-001.png, fish_images/Emperor-angelfish/emperor-angelfish-002.png, fish_images/Emperor-angelfish/emperor-angelfish-003.png"
Blueface angelfish,"body: The Blueface angelfish has a flat, oval-shaped body with a moderate size, typically growing up to 15 inches in length; colors: Its body is primarily yellow with a vibrant blue face, including the lips, chin, and the area around the eyes, and blue highlights on the edges of the fins and the tail; features: It has long, flowing fins, particularly the dorsal and anal fins, and small scales; unique_marks: A distinctive characteristic of the Blueface angelfish is the vibrant blue stripe that runs across its face, from the mouth to the back of the head, and the yellow body with blue highlights on the fins.","fish_images/Blueface-angelfish/blueface-angelfish-001.png, fish_images/Blueface-angelfish/blueface-angelfish-002.png, fish_images/Blueface-angelfish/blueface-angelfish-003.png"
Royal angelfish,"body: The Royal angelfish has a flat, disc-shaped body with a rounded abdomen and a long, pointed snout, reaching a maximum length of approximately 18 centimeters or 7 inches; colors: They display striking yellow and blue coloration patterns, with the body being predominantly yellow, while the fins, face, and vertical stripes are blue; features: They have long, flowing dorsal and anal fins, as well as large, iridescent scales that reflect light, and a distinctive head shape featuring a long, pointed snout; unique_marks: A key identifying characteristic of the Royal angelfish is the presence of a distinctive blue stripe that runs vertically through the eye, as well as a series of blue stripes along the body, which can vary in number but are typically three or four.","fish_images/Royal-angelfish/royal-angelfish-001.png, fish_images/Royal-angelfish/royal-angelfish-002.png, fish_images/Royal-angelfish/royal-angelfish-003.png"
Streaked spinefoot,"body: The Streaked spinefoot has a moderately elongated and compressed body, typically reaching lengths of 20-25 centimeters, with a maximum recorded length of about 30 centimeters; colors: The body is generally pale brown to grayish-brown in color, with about 7-8 dark brown to black vertical stripes or streaks on the sides, and a yellowish-brown belly; features: The species has a pointed snout, a relatively small mouth, and a distinctive spine on the operculum; unique_marks: The Streaked spinefoot can be identified by the presence of a distinctive dark stripe running through the eye, the yellowish-brown color of the pectoral and anal fins, and the presence of a sharp spine on the operculum.","fish_images/Streaked-spinefoot/streaked-spinefoot-001.png, fish_images/Streaked-spinefoot/streaked-spinefoot-002.png, fish_images/Streaked-spinefoot/streaked-spinefoot-003.png"
Great barracuda,"body: The Great barracuda has an elongated, slender body, typically silver-gray in color, with a pointed head and a long, pointed snout, and can grow up to 6 feet (1.8 meters) in length and weigh up to 100 pounds (45 kilograms); colors: They have a silver-gray body with darker vertical stripes or spots that fade as they mature, and their belly is usually pale yellow or white; features: They have a distinctive set of large, pointed teeth and powerful jaws, a forked tail, and a dorsal fin that is divided into two separate fins, with the second dorsal fin being much smaller than the first; unique_marks: One unique identifying characteristic of the Great barracuda is the presence of a distinctive row of darker spots or stripes that run along their lateral line, and their large size and fearsome appearance make them easily recognizable.","fish_images/Great-barracuda/great-barracuda-001.png, fish_images/Great-barracuda/great-barracuda-002.png, fish_images/Great-barracuda/great-barracuda-003.png"
Yellowtail barracuda,"body: The Yellowtail barracuda has a slender, elongated body shape, typically growing to an average length of 30-60 cm, with a maximum recorded length of approximately 90 cm and weighing up to 3 kg; colors: Its body is predominantly silver or grayish in color with a distinctive yellow tail and yellow highlights on the fins and lower parts of the body, often featuring darker vertical stripes or spots along the sides; features: The species has a pointed head, a large mouth with many sharp teeth, and a distinctive pair of fangs, with a forked tail and two dorsal fins, the first of which has five spines; unique_marks: A key identifying feature of the Yellowtail barracuda is the presence of a distinctive yellow tail and the combination of a pointed snout and large mouth with sharp teeth.","fish_images/Yellowtail-barracuda/yellowtail-barracuda-001.png, fish_images/Yellowtail-barracuda/yellowtail-barracuda-002.png, fish_images/Yellowtail-barracuda/yellowtail-barracuda-003.png"
Pickhandle barracuda,"body: The Pickhandle barracuda has an elongated, slender body shape with a pointed snout and a rounded abdomen, typically growing up to 1 meter in length, but can reach up to 1.8 meters in maximum length, and weigh up to 30 kilograms; colors: The body coloration is usually a grayish-silver color with a white belly, and a series of darker vertical bars or spots on the upper body, which can fade as the fish matures; features: The Pickhandle barracuda has a distinctive pointed snout, large eyes, and a prominent lower jaw, with two dorsal fins, the first with 5 spines, and the second with 9 rays, the anal fin has 2 spines and 9 rays, the caudal fin is forked, and the scales are small and cycloid; unique_marks: A distinctive characteristic of the Pickhandle barracuda is the presence of a long, pointed snout, which resembles a pick handle, hence the name, and the presence of a series of darker vertical bars or spots on the upper body, which can be used to distinguish it from other barracuda species.","fish_images/Pickhandle-barracuda/pickhandle-barracuda-001.png, fish_images/Pickhandle-barracuda/pickhandle-barracuda-002.png, fish_images/Pickhandle-barracuda/pickhandle-barracuda-003.png"
Blackfin barracuda,"body: The Blackfin barracuda has a long, slender, torpedo-shaped body, typically measuring between 30-100 cm in length, with the maximum recorded length being around 120 cm and weighing up to 20 kg; colors: The body is generally silvery gray with a white belly, and it has distinctive black tips on its fins and tail, and may also display a series of dark gray or brown spots or vertical bars on its sides; features: It has a pointed head, large mouth with sharp teeth, and a distinctive set of large, pointed dorsal and anal fins with black tips, its scales are small and smooth, and its lateral line is slightly curved; unique_marks: The most distinctive identifying characteristic of the Blackfin barracuda is the black tips on its dorsal, anal, and caudal fins, as well as the presence of 19-23 gill rakers on the lower limb of the first gill arch.","fish_images/Blackfin-barracuda/blackfin-barracuda-001.png, fish_images/Blackfin-barracuda/blackfin-barracuda-002.png, fish_images/Blackfin-barracuda/blackfin-barracuda-003.png"
Moorish idol,"body: The Moorish idol has a laterally compressed, disk-shaped body, typically growing to a length of 15-20 centimeters, with a maximum recorded length of about 23 centimeters; colors: The Moorish idol is characterized by striking coloration patterns, featuring a predominantly yellow body with three vertical black stripes, the first stripe running through the eye, the second stripe behind the gill cover, and the third stripe at the base of the tail; features: The Moorish idol has long, pointed snout, small mouth, and large, rounded dorsal and anal fins that are pointed at the tips, with the dorsal fin being longer than the anal fin, and large, cycloid scales; unique_marks: A unique identifying characteristic of the Moorish idol is the long, pointed extension of the dorsal fin that is longer than the body of the fish, and the distinctive pattern of black and yellow stripes that run vertically along its body.","fish_images/Moorish-idol/moorish-idol-001.png, fish_images/Moorish-idol/moorish-idol-002.png, fish_images/Moorish-idol/moorish-idol-003.png"
Little dragonfish,"body: The Little dragonfish has an elongated and slender body, typically measuring between 2-4 inches in length; colors: It exhibits a dark brown to black body coloration with a lighter brown or yellowish tint on its belly, and has a distinctive pattern of small, pale blue or white spots and stripes along its sides; features: It has large eyes, a relatively small mouth, and a distinctive head shape with a pointed snout, its dorsal fin is long and low, and its anal fin is similar in shape and size to the dorsal fin, it has large pectoral fins and a forked caudal fin; unique_marks: One of the most distinctive features of the Little dragonfish is the presence of a barbel or chin whisker, which is a long, thin, fleshy filament that extends from the chin, it also has a distinctive pattern of small, pale blue or white spots and stripes along its sides, and the ability to produce light through bioluminescence, which is used for communication and attracting prey.","fish_images/Little-dragonfish/little-dragonfish-001.png, fish_images/Little-dragonfish/little-dragonfish-002.png, fish_images/Little-dragonfish/little-dragonfish-003.png"
Indian mackerel,"body: The Indian mackerel has a streamlined, elongated body shape with a pointed head and a tapering tail, typically measuring between 15-30 centimeters in length, with a maximum recorded length of around 35 centimeters; colors: The body is a metallic blue color on the back, gradually transitioning to a silvery white on the belly, with a series of wavy, dark blue or black stripes running along the sides, often with a golden sheen; features: It has a pointed snout, a relatively small mouth, and a dorsal fin with 9-10 spines and 12-13 soft rays, an anal fin with 0 spines and 12-13 soft rays, and a lateral line with 40-45 scales; unique_marks: A distinctive characteristic of the Indian mackerel is the presence of a small, dark spot on the operculum, just behind the eye, and a series of small, dark spots or blotches along the lateral line, often forming a wavy pattern.","fish_images/Indian-mackerel/indian-mackerel-001.png, fish_images/Indian-mackerel/indian-mackerel-002.png, fish_images/Indian-mackerel/indian-mackerel-003.png"
Trumpetfish,"body: The Trumpetfish has an elongated, trumpet-shaped body that is typically brown or silver in color, with a long, pointed snout and a rounded abdomen, it can grow up to 3 feet in length; colors: The Trumpetfish has a mottled brown and silver coloration pattern with vertical stripes or spots that help it blend in with its surroundings, it can also have a yellow or white belly; features: The Trumpetfish has a distinctive elongated dorsal fin and a long, pointed anal fin, its scales are small and rough to the touch, and its head is long and pointed with a large mouth; unique_marks: One of the most distinctive features of the Trumpetfish is its ability to change color to blend in with its surroundings, it also has a long, pointed snout that it uses to catch prey, and its elongated body shape allows it to hide in narrow crevices and ambush its prey.","fish_images/Trumpetfish/trumpetfish-001.png, fish_images/Trumpetfish/trumpetfish-002.png, fish_images/Trumpetfish/trumpetfish-003.png"
Ornate ghost pipefish,"body: The Ornate ghost pipefish has a long, slender body shape, typically growing to a length of 6-8 inches (15-20 cm), with a maximum recorded length of 9 inches (23 cm); colors: The Ornate ghost pipefish has a mottled brown and yellow coloration, with intricate patterns of darker and lighter shades, often featuring vertical stripes or blotches, allowing for effective camouflage; features: The Ornate ghost pipefish has a distinctive head shape, with a long, pointed snout and large, wing-like pectoral fins, which are used for balance and maneuverability, while the dorsal fin is relatively small; unique_marks: A distinctive characteristic of the Ornate ghost pipefish is the presence of a pair of long, thin filaments protruding from the snout, often mistaken for antennae, and a unique pattern of spots or stripes on the belly, which can be used to distinguish individuals.","fish_images/Ornate-ghost-pipefish/ornate-ghost-pipefish-001.png, fish_images/Ornate-ghost-pipefish/ornate-ghost-pipefish-002.png, fish_images/Ornate-ghost-pipefish/ornate-ghost-pipefish-003.png"
