Fish Name,Thai Fish Name,Scientific Name,Order Name,General Description,Physical Description,habitat,Avg Length(cm),Avg Age(years),Avg DepthLevel(m),Avg Weight(kg)
Coral hind,ปลาเก๋าปะการัง,Cephalopholis miniata,Perciformes,"A vibrant, predatory grouper found in Indo-Pacific coral reefs, noted for its orange-red body covered in bright blue spots. Reaches up to 50 cm; forms harems, ambushes small fish and crustaceans. Popular in fisheries and aquariums; protogynous hermaphrodite.","body: The Coral hind has an elongated, oval-shaped body with a slightly compressed profile, typically growing to a maximum length of 60 centimeters and weighing up to 4 kilograms; colors: The body is generally reddish-brown to pinkish-brown in color with a white belly, and often features a series of vertical, darker stripes or blotches along the sides; features: It has a pointed snout, a large mouth with many small teeth, and a distinctive hump on the forehead, its dorsal fin is divided into two parts with the first part having 11 spines and the second part having 15-17 soft rays, the anal fin has 3 spines and 8-9 soft rays, and the scales are small and rough; unique_marks: A distinctive characteristic of the Coral hind is the presence of a prominent hump or bump on the forehead, and the vertical stripes or blotches along the sides of the body that can vary in intensity depending on the environment and the age of the fish.","Clear coastal and offshore coral reefs, caves, and ledges in Indo-Pacific (Red Sea, East Africa, Japan, Australia, Indian Ocean islands, west-central Pacific); prefers exposed areas; found at depths of 2–150 m.",35,12,30,1.5
Eastern triangle butterflyfish,ปลาผีเสื้อสามเหลี่ยมตะวันออก,Chaetodon baronessa,Perciformes,"A small, territorial butterflyfish found in Indo-West Pacific coral reefs, recognized by alternating cream and grey chevron bars and three dark head stripes. Feeds exclusively on Acropora coral polyps, usually seen in pairs. Not threatened.","body: The Eastern triangle butterflyfish has an oval-shaped body that is moderately compressed, with a length of approximately 12-15 centimeters; colors: The body is primarily yellow with a black triangle-shaped mark on the rear of the body, a black stripe running through the eye, and a yellow stripe above and below the black stripe, with blue highlights on the fins and scales; features: The fish has a pointed snout, a small mouth, and a continuous dorsal fin with 13 spines and 18-20 rays, the anal fin has 3 spines and 18-20 rays, the caudal fin is rounded, and the scales are small and rough to the touch; unique_marks: A distinctive black triangle-shaped mark on the rear of the body, a black stripe running through the eye, and blue highlights on the fins and scales, which distinguish it from other butterflyfish species.","Seaward and lagoon coral reefs from Indonesia to Fiji, Tonga, southern Japan, New Caledonia, and Australia; prefers areas with abundant Acropora corals.",16,8,25,0.1
Redtail butterflyfish,ปลาผีเสื้อหางแดง,Chaetodon collare,Perciformes,"A striking butterflyfish found in Indo-West Pacific reefs, recognized by its brown-black body, white streaks on the head, and bright red tail base. Feeds mainly on coral polyps, usually seen in pairs or small groups. Not threatened.","body: The Redtail butterflyfish has a flat, oval-shaped body with a rounded abdomen and a slightly pointed snout, typically growing to an average length of 6-8 inches (15-20 cm) and a maximum length of around 10 inches (25 cm); colors: The body is predominantly yellow with a black stripe running vertically through the eye, a black stripe along the upper back, and a black stripe along the lower back that ends in a red stripe at the tail, the dorsal and anal fins have yellow and black stripes, and the tail is red with a black stripe; features: The Redtail butterflyfish has long, pointed dorsal and anal fins, a small mouth, and large, round eyes, its scales are small and smooth, and its head is shaped like a triangle with a pointed snout; unique_marks: A distinctive black stripe running vertically through the eye and a bright red stripe at the tail are the unique identifying characteristics of the Redtail butterflyfish.","Coral reefs from Persian Gulf and Maldives to Japan, Philippines, and Indonesia; prefers depths of 3–15 m, often near branching corals.",18,10,15,0.2
Indian vagabond butterflyfish,ปลาผีเสื้ออินเดีย,Chaetodon decussatus,Perciformes,"A robust butterflyfish found in Indo-West Pacific reefs, recognized by oblique black lines and yellowish hindparts. Adults are monogamous and territorial, feeding on algae and coral polyps. Juveniles are solitary. Not threatened.","body: The Indian vagabond butterflyfish has an oval-shaped body that is moderately compressed, typically growing up to 12-15 centimeters in length; colors: The fish displays a predominantly yellow body with a brownish-black stripe running vertically through the eye, and a series of diagonal brownish-black stripes along the sides, with a yellow tail and yellow fins; features: It has a pointed snout, a small mouth, and a continuous dorsal fin with 11-13 spines and 16-18 rays, and the anal fin has 3 spines and 16-18 rays; unique_marks: A distinctive black spot on the rear of the dorsal fin and a white stripe above the eye are unique identifying characteristics of this species.","Coral reefs, rubble, and rocky areas from Maldives, India, Sri Lanka, Andaman Sea to western Indonesia; found at depths of 2–25 m.",20,10,20,0.2
Scrawled butterflyfish,ปลาผีเสื้อลายขีด,Chaetodon meyeri,Perciformes,"A striking butterflyfish found in Indian and Pacific Ocean coral reefs, recognized by curved black bands on a whitish body and yellow-edged black bars through the eye and snout. Feeds exclusively on coral polyps. Not threatened.","body: The Scrawled butterflyfish has a deep, flattened body with a rounded abdomen, typically growing to a length of 7-10 inches or 18-25 centimeters; colors: The species features a yellowish-brown to dark brown body with a distinctive scrawled or scribbled pattern of darker lines, often with a yellow or white stripe running from the eye to the mouth and yellow highlights on the fins; features: It has a long, pointed snout, a small mouth, and a continuous dorsal fin with 13-15 spines and 19-21 rays, its anal fin has 3 spines and 18-20 rays, the caudal fin is rounded, and its scales are small and rough to the touch; unique_marks: The scrawled pattern on its body and the yellow stripe running from the eye to the mouth serve as unique identifying characteristics for this species.","Coral-rich seaward and lagoon reefs from East Africa to Line Islands, Ryukyu Islands, Great Barrier Reef, Micronesia, Galapagos; depths 2–25 m.",20,10,20,0.2
Eightband butterflyfish,กบหลังลายเฉียง,Chaetodon octofasciatus,Perciformes,"A small butterflyfish found in Indo-Pacific coral reefs, feeding exclusively on coral polyps. Noted for its distinctive stripes and preference for sheltered inshore and lagoon reefs. Grows up to 12 cm.","body: The Eightband butterflyfish has a compressed, oval-shaped body, typically growing to a length of about 15-20 centimeters; colors: The fish has a predominantly yellow body with eight vertical black stripes, a black stripe running behind the eye, and a black stripe at the base of the tail; features: It has a pointed snout, a small mouth, and long, pointed dorsal and anal fins, with a rounded tail fin; unique_marks: The Eightband butterflyfish can be distinguished by its distinctive eight vertical black stripes on the body and a black stripe behind the eye, as well as its long, pointed snout and fins.",Sheltered inshore and lagoon reefs among corals in Indo-Pacific; depth range 3–20 m.,12,6,20,0.1
Latticed butterflyfish,ปลาผีเสื้อลายลูกไม้,Chaetodon rafflesii,Perciformes,"The Latticed Butterflyfish is an uncommon Indo-Pacific species found from Sri Lanka to Tuamotu Islands, north to Japan, south to Great Barrier Reef, and Micronesia. It inhabits areas of rich coral growth in lagoons and protected reef flats and seaward reefs from 1–20 m depth. Feeds on sea anemones, polychaetes, and coral polyps. Grows up to 18 cm.","body: The Latticed butterflyfish has a compressed, oval-shaped body with a moderate size, typically growing up to 15 centimeters in length; colors: The species has a yellowish-brown body with a lattice-like pattern of darker brown stripes, and the belly is white, with a distinctive black stripe running through the eye and a yellow stripe above it; features: The fish has a long, pointed snout, a small mouth, and a continuous dorsal fin, with the anal fin being slightly smaller, and the scales are small and rough to the touch; unique_marks: A distinctive characteristic of the Latticed butterflyfish is the presence of a black spot on the upper part of the operculum, and the lattice-like pattern on the body, which is made up of thin, dark brown stripes that intersect to form a network-like design.","Lagoons, protected reef flats, and seaward reefs with rich coral growth in Indo-Pacific; depth range 1–20 m.",18,6,20,0.15
Humphead wrasse,ปลานโปเลียน,Cheilinus undulatus,Perciformes,"The humphead wrasse is the largest living member of Labridae, found on coral reefs in the Indo-Pacific. Males reach up to 2 m and 190 kg, females are smaller. Noted for thick lips and a prominent forehead hump. Endangered due to overfishing, habitat loss, and trade. Long-lived, slow-breeding, and protected in several regions.","body: The Humphead wrasse has a large, elongated body that can grow up to 2 meters in length and weigh up to 190 kilograms, making it one of the largest species of wrasse; size: The average length of a mature Humphead wrasse is around 1.5 meters; colors: The body is typically greenish-blue to blue-green in color, with a series of six to seven vertical stripes on the sides, and a distinctive white or yellowish stripe running from the mouth to the pectoral fin; features: The Humphead wrasse has a distinctive hump on its forehead, which is more pronounced in males, and a long, pointed snout; it also has large, fleshy lips and sharp teeth; the dorsal fin is continuous, with nine spines and 19-21 soft rays; the anal fin has three spines and 15-17 soft rays; unique_marks: One of the most distinctive features of the Humphead wrasse is the prominent hump on its forehead, which is thought to be used for defense and intimidation; the species also has a unique pattern of scales, with each scale having a dark spot in the center, giving the appearance of a series of small spots along the body.","Steep coral reef slopes, channels, and lagoon reefs in Indo-Pacific; juveniles in dense coral/seagrass, adults in open reef edges; depth 1–100 m.",200,50,100,190
Humpback grouper,ปลากะรังหลังค่อม,Cromileptes altivelis,Perciformes,"The humpback grouper (Cromileptes altivelis) is a demersal, solitary, ambush predator found in tropical Indo-West Pacific lagoons and seaward reefs, preferring dead or silty areas. Grows up to 70 cm. Noted for its laterally compressed, high body and elongated snout. Vulnerable due to rarity, overharvesting, and habitat loss; commonly kept in aquaria.","body: The Humpback grouper has an elongated, robust body shape with a distinctive hump or bump on its forehead, just above the eyes, which is more pronounced in adults; adults typically reach a length of 40-60 cm, with a maximum recorded length of about 80 cm and a weight of up to 10 kg; body depth is approximately 2.5-3 times in standard length; body shape can vary slightly depending on age and sex; features: The dorsal fin has 11 spines and 16-18 soft rays, while the anal fin has 3 spines and 8-10 soft rays; scales are small and ctenoid, with a rough texture; head shape is slightly pointed, with a slightly convex upper profile; eyes are relatively large, with a diameter about 1/3 of the head length; unique_marks: The Humpback grouper is characterized by its distinctive hump on the forehead, a rounded caudal fin, and a pattern of 5-7 broad, dark vertical bars on the body, which may fade or become less prominent in larger individuals; colors: The base color of the Humpback grouper is typically pale brown or greyish-brown, with the 5-7 dark vertical bars and often with small, darker spots or blotches on the body and fins.",Clear lagoons and seaward reefs in tropical Indo-West Pacific; prefers dead or silty areas; depth range 2–40 m.,70,18,40,10
Honeycomb grouper,ปลากะรังลายรังผึ้ง,Epinephelus merra,Perciformes,"The honeycomb grouper is a small, solitary Indo-Pacific grouper found from South Africa to Pitcairn, Japan, and Lord Howe Island. It reaches up to 32 cm, with a stocky, ocher to light brown body covered in brown hexagonal spots forming a network. Protogynous hermaphrodite, feeds on fish, crabs, shrimps, and cephalopods.","body: The Honeycomb grouper has an elongated, robust body shape with a rounded abdomen, typically growing up to 75 centimeters in length and weighing a maximum of 7 kilograms, although the average length is around 40-50 centimeters; colors: The body of the Honeycomb grouper is predominantly brown with a yellowish tint, featuring a distinctive honeycomb-like pattern of darker brown or black spots and blotches that are more pronounced on the dorsal side; features: The fish has a slightly pointed head with a protruding lower jaw, large eyes, and a distinctive pattern of small, dark spots on the operculum, the dorsal fin has 11 spines and 16-17 soft rays, while the anal fin has 3 spines and 8 soft rays, the scales are small and ctenoid; unique_marks: A distinctive characteristic of the Honeycomb grouper is the presence of small, dark spots on the maxilla, which extends to the operculum, and the honeycomb-like pattern of darker spots on the body that fades with age.",Seaward reefs and shallow lagoons in tropical Indo-Pacific; juveniles prefer staghorn coral reefs; depth range 1–50 m.,32,10,50,0.6
Potato cod,ปลากะรังมันฝรั่ง,Epinephelus tukula,Perciformes,"The Potato cod is a large, inquisitive grouper native to Indo-Pacific reefs, including Australia and Southeast Asia. It reaches up to 2.6 m and 110 kg, is patchily distributed, and is considered harmless but may show rare aggression. Listed as Least Concern by IUCN.","body: The Potato cod is a medium-sized fish with a robust, oval-shaped body that is laterally compressed, typically growing to an average length of 60-80 cm, with a maximum recorded length of 120 cm and a weight of up to 25 kg; colors: The body of the Potato cod is usually pale brown to greyish-brown in color, with a series of darker brown to black spots and blotches, often forming a mottled or marbled pattern, the belly is pale and often has a yellowish tint; features: The Potato cod has a distinctive head shape with a steep forehead profile, a protruding lower jaw, and a large mouth with many small teeth, the dorsal fin is divided into two parts, with the first part having 11 spines and the second part having 14-16 soft rays, the anal fin has 3 spines and 8-9 soft rays, the scales are rough to the touch and have a distinctive pattern of fine ridges; unique_marks: A distinctive characteristic of the Potato cod is the presence of a prominent hump on the forehead, just above the eyes, which is more pronounced in larger individuals, this hump is often accompanied by a series of small, fleshy growths or bumps on the forehead and snout.",Reefs across Indo-Pacific from Red Sea to Australia; prefers unfished or protected reef areas; depth 5–150 m.,260,40,80,110
Yellow longnose Butterflyfish,ปลาผีเสื้อปากยาวสีเหลือง,Forcipiger flavissimus,Perciformes,"The yellow longnose butterflyfish is a small, territorial reef fish found across the Indo-Pacific and eastern Pacific. It forms monogamous pairs, defends coral patches, and uses acoustic signals for communication. Grows up to 22 cm; popular in aquariums.","body: elongated and compressed, typically growing up to 20-25 centimeters in length; colors: predominantly yellow with a series of diagonal stripes on the body, often with a darker yellow or brown stripe running along the upper back, and a black stripe through the eye; features: long snout, small mouth, and a continuous dorsal fin with 13-14 spines, anal fin with 16-17 rays, and a rounded tail; unique_marks: distinctive black stripe through the eye, and a long pointed snout that is about one-third the length of the head.","Coral reefs in tropical Indo-Pacific and eastern Pacific (Africa to Hawaii, Red Sea, Baja California, Galapagos); found at depths of 2–40 m.",22,7,20,0.1
Dogtooth tuna,ปลาทูน่าหมาฟัน,Gymnosarda unicolor,Perciformes,"The Dogtooth tuna is a large, powerful predator found in tropical Indo-Pacific reefs. It can reach up to 2.5 meters and 130 kg, has a streamlined body, open jaws, and blue-green coloration. Highly prized by anglers, it feeds on schooling fish near reefs.","body: The dogtooth tuna has a streamlined, torpedo-shaped body, typically growing to 60-100 cm in length and weighing up to 20 kg, with the maximum recorded length being around 120 cm; colors: The dogtooth tuna has a metallic blue color on its back, which gradually fades to silver on its sides and white on its belly, with a distinctive pattern of wavy, yellow or golden stripes running along its sides; features: It has a conical head, a pointed snout, and large eyes, with a distinctive set of large, canine-like teeth, its dorsal fin is set far back on its body and is relatively small, the anal fin is slightly larger and more pointed, and its scales are small and smooth; unique_marks: One of the most distinctive features of the dogtooth tuna is the presence of large, sharp teeth in both jaws, which are used for catching and eating prey, and its lateral line is also slightly curved and does not have a pronounced arch.","Tropical Indo-Pacific reefs; juveniles in shallow areas, adults near drop-offs and seamounts; depth varies widely.",80,15,100,40
Checkerboard wrasse,ปลาเพรียงลายหมากรุก,Halichoeres hortulanus,Perciformes,"The checkerboard wrasse is a small, vibrant reef fish found from the Red Sea to the central Pacific. Growing up to 27 cm, it changes color and sex as it matures. It feeds on small invertebrates and is common in clear lagoons and seaward reefs.","body: The Checkerboard wrasse has a moderately elongated body shape, typically growing to a maximum length of about 20-25 centimeters, with a relatively slender build; colors: The Checkerboard wrasse is characterized by a striking color pattern, with a predominantly yellowish-brown to greenish-brown body covered in a distinctive checkerboard-like pattern of darker brown or black squares, separated by lighter yellow or green lines; features: This species has a pointed snout, a relatively small mouth, and large eyes, with long, pointed pectoral fins and a rounded caudal fin, its scales are relatively small and smooth; unique_marks: A unique identifying characteristic of the Checkerboard wrasse is the presence of a distinctive dark stripe running along the base of the dorsal fin, as well as a series of darker spots or blotches along the lateral line, which can help distinguish it from other similar-looking wrasse species.","Clear lagoons and seaward reefs, Indo-Pacific (Red Sea to French Polynesia); depth 1–30 m.",20,7,15,0.2
Pennant coralfish,ปลาธงหางยาว,Hiniochus acuminatus,Perciformes,"The Pennant coralfish, also known as the longfin bannerfish, is a striking Indo-Pacific reef fish recognized by its elongated dorsal fin filament, white body with two bold black diagonal bands, and yellow fins. Typically found in pairs at depths of 15–75 meters, it feeds on zooplankton and is listed as Least Concern by the IUCN.","body: The Pennant coralfish has an elongated, compressed body shape, typically growing up to 25 centimeters in length; colors: The body of the Pennant coralfish is primarily yellow with blue stripes running horizontally, it also features blue stripes on its face, yellow fins, and a yellow tail with blue edges; features: It has a pointed snout, large eyes, and a small mouth, its dorsal fin is divided into two parts with 11-12 spines in the first part and 16-18 rays in the second part; unique_marks: The Pennant coralfish is identified by its distinctive blue stripe running through its eye, and its long, pointed snout that is slightly upturned, it also has a prominent hump on the forehead just above the eyes.",Outer reef slopes and channels across the Indo‑Pacific; depth range 2–178 m.,15,6,40,0.1
Schooling bannerfish,ปลาธงหมู่,Hiniochus diphreutes,Perciformes,"A schooling butterflyfish found on Indo-Pacific reef slopes and channels. Noted for its long, banner-like dorsal fin, white body with two bold black diagonal bands, and yellow fins. Lives in large groups, feeds on zooplankton, and may act as a cleaner fish when juvenile. Grows up to 18 cm.","body: The Schooling bannerfish has an elongated, laterally compressed body with a rounded abdomen and a pointed snout, typically growing to a length of 12 to 20 inches; colors: The body is predominantly yellow with 3 broad black vertical stripes, the first stripe runs through the eye, the second stripe runs just behind the pectoral fin, and the third stripe runs just before the caudal fin, with a black stripe running along the base of the dorsal fin; features: The dorsal fin is long and banner-like, with 9 spines and 24-26 rays, the anal fin has 3 spines and 20-22 rays, the scales are small and rough, and the head is pointed with a small mouth; unique_marks: The distinctive black stripes and the long, banner-like dorsal fin are the most notable identifying characteristics of the Schooling bannerfish.","Outer reef slopes and channels, Indo‑Pacific; depth range 5–210 m (commonly 5–30 m).",18,6,25,0.1
Bigeye snapper,ปลากะพงตาโต,Lutjanus lutjanus,Perciformes,"A reef-associated snapper found in the Indian and western Pacific Oceans, inhabiting offshore coral reefs from the surface to 96 m. Noted for its silvery body with a yellow lateral stripe and yellowish fins, it grows up to 35 cm. Highly valued in commercial fisheries.","body: The Bigeye snapper has a moderately deep body with a slightly compressed shape, typically growing to a maximum length of 80 centimeters and weighing up to 13 kilograms, although the average length is around 30-50 centimeters; colors: The body is generally yellowish-brown to bronze in color, with a silvery sheen on the belly, and a series of horizontal yellow stripes on the sides that fade with age; features: It has a pointed snout, a slightly concave forehead, and a distinctive hump on the forehead; the dorsal fin is divided into two parts, with the first part having 10 spines and the second part having 13-15 soft rays; the anal fin has 3 spines and 8-9 soft rays; the scales are small and rough to the touch; unique_marks: A distinctive characteristic of the Bigeye snapper is the large eye, which is larger than the length of the snout, and a series of small blue spots on the operculum and the upper part of the gill cover.",Offshore coral reefs and inshore waters; depth range 0–96 m.,25,11,40,0.3
Humpnose unicornfish,ปลาแฮมป์โนสยูนิคอร์นฟิช,Naso tonganus,Perciformes,"A reef-associated unicornfish found across the Indo-Pacific, recognized by its silvery to brownish-grey body, convex dorsal profile, and prominent forehead hump in adults. Noted for its dark dorsal fin with blue margin, blackish bands on pectoral and caudal fins, and bony plates on the caudal peduncle. Grows up to 60 cm; feeds on algae and zooplankton.","body: The Humpnose unicornfish has an elongated, oval-shaped body that can grow up to 70 centimeters in length, with a relatively flat belly and a prominent hump on the forehead in adults; colors: The body is typically a silvery gray to blue-gray color with a white belly, and a bright yellow stripe running along the sides, from the mouth to the tail, with a second, less prominent yellow stripe above it; features: The Humpnose unicornfish has a distinctive horn-like protrusion on its forehead, large eyes, and a long, pointed snout, with a pair of long, pointed dorsal and anal fins; unique_marks: A distinctive hump on the forehead in adults, a long, pointed snout, and a bright yellow stripe along the sides of the body.","Coral reefs, lagoons, estuaries; depth range 2–40 m (commonly 3–20 m).",45,20,25,1.2
Red fire goby,ปลาสีไฟ,Nemateleotris magnifica,Perciformes,"A small, reef-associated dartfish found in the Indian and Pacific Oceans, inhabiting coral reefs at depths of 6–70 m. Noted for its bright yellow head, white body, and red-orange tail, with a long dorsal fin used for signaling. Grows up to 9 cm; monogamous, retreats to burrows when threatened, and feeds on small invertebrates.","body: The Red fire goby has a slender, elongated body shape, typically growing up to 2-3 inches in length; colors: The primary coloration of the Red fire goby is a vibrant red to reddish-orange hue, with yellow or white highlights on the belly and fins, and often featuring blue or green spots or stripes on the body; features: The Red fire goby has large dorsal and anal fins, with the dorsal fin being notched and the anal fin being pointed, it also has relatively small scales and a rounded head shape; unique_marks: One of the distinctive features of the Red fire goby is the presence of long, thin, pointed pelvic fins that are often used for sensing its surroundings and communicating with other gobies, and its ability to change sex from female to male, a process known as sequential hermaphroditism.",Coral reefs across Indo-Pacific; depth 6–70 m (usually 6–28 m); hovers above substrate.,7,4,20,0.01
Palette surgeonfish,ปลาหมอทะเล,Paracanthurus hepatus,Perciformes,"The Palette surgeonfish, also known as regel blue tang, is a striking Indo-Pacific reef fish with a royal blue body, yellow tail, and blod black palette markings, Growing up to 30 cm, it inhabits coral reefs from East Africa to Japan and Australia, often seen in pairs or small groups. Juveniles feed on plankton; adults graze on algae, helping maintain coral health. Noted for sharp caudal spines used in defense, it is popular in aquariums but of minor commercial value. Listed as Least Concern, yet threatened by overcollection and habitat loss.","body: The Palette surgeonfish has a laterally compressed, oval-shaped body, typically growing to an average length of 20-25 centimeters, with a maximum recorded length of about 30 centimeters; colors: The fish features a predominantly yellow body with vibrant blue highlights on the fins, snout, and tail, along with distinctive black stripes that run vertically along the body, with a black stripe also present on the snout, and a yellowish-white belly; features: The Palette surgeonfish has a distinctive scalpel-like spine on either side of the caudal peduncle, which is used for defense, as well as large dorsal and anal fins, and a small mouth with numerous small teeth; unique_marks: The species is easily identified by its bright blue highlights and distinctive black stripes, particularly the black stripe running along the snout, as well as the presence of the scalpel-like spines on either side of the caudal peduncle.","Coral reefs in Indo-Pacific: Philippines, Indonesia, Japan, Australia, New Caledonia, Samoa, East Africa, Sri Lanka; depth range 2–40 m.",25,8,25,0.6
Black-sided hawkfish,ปลากะรังเหยี่ยว,Paracirrhites forsteri,Perciformes,"The Black-sided hawkfish is a colorful reef fish found across the Indo-Pacific, reaching up to 22 cm. It features a yellowish body with a broad dark lateral band, whitish or grey head and front, and red speckles. Juveniles vary in color, showing reddish tones in Asia and golden-green in Oceania. Noted for perching on corals, it has ten dorsal spines, eleven soft rays, and three anal spines. Popular in aquariums, it is a minor fishery species.","body: The Black-sided hawkfish has an elongated body shape, typically measuring between 8-12 centimeters in length, with a relatively flat profile and a slightly rounded abdomen; colors: The primary coloration of the Black-sided hawkfish is a mottled brown and yellow, with distinctive black stripes running along its sides, while the belly is white or pale yellow; features: The Black-sided hawkfish has a distinctive head shape with a long, pointed snout and large eyes, it has long, pointed dorsal and anal fins, and its scales are relatively small and smooth; unique_marks: A unique identifying characteristic of the Black-sided hawkfish is the presence of a distinctive black stripe running along the middle of its body, from the eye to the base of the tail, as well as a series of smaller black spots along the dorsal fin.",Coral and rocky reefs in Indo-Pacific; perches on corals and rocks; depth range 1–40 m.,18,7,35,0.1
Teira batfish,ปลาค้างคาวเทอิรา,Platax teira,Perciformes,"The Teira batfish is a round-bodied Indo-West Pacific species, reaching up to 60 cm. It displays a silvery to brownish color, with a dark blotch under the pectoral fin and bands through the eye and pectoral base. Noted for its ability to change color, it inhabits coastal and offshore reefs, often schooling among debris or seaweed. Omnivorous, it feeds on plankton, algae, and small invertebrates. Peaceful and social, it is popular in aquariums and can grow rapidly.","body: The Teira batfish, also known as Platax teira, has a flat, disc-shaped body, typically growing to a length of 20-40 cm and a width of up to 20 cm, with the maximum recorded length being around 70 cm; colors: The species has a mottled brown or greyish-brown coloration with lighter or darker patches, often featuring a distinctive pale yellow or cream-colored belly and darker vertical stripes on the body, especially in juveniles; features: The Teira batfish has long, pointed pectoral and dorsal fins, a rounded anal fin, and a small mouth with relatively small teeth, its scales are small and rough to the touch, and its head is relatively small with a short snout; unique_marks: A distinctive characteristic of the Teira batfish is the presence of long, thread-like pelvic fin rays that extend far beyond the rest of the pelvic fin, as well as its unique mottled color pattern and the ability to change its coloration depending on its surroundings and mood.","Juveniles among debris, mangroves, inner reefs; adults on reefs and offshore up to depth of 70 m; schools under Sargassum or shipwrecks.",60,10,70,4.5
Indian Ocean oriental sweetlips,ปลาหมากขุนทอง,Plectorhinchus vittatus,Perciformes,"The Indian Ocean oriental sweetlips is a striking Indo-Pacific reef fish, reaching up to 72 cm. Adults display alternating black and white stripes, broadest on the upper body, with yellow fins, snout, and forehead, and black-spotted dorsal, anal, and caudal fins. Juveniles show black blotches that split into stripes as they mature. Noted for fleshy lips and six chin pores, it inhabits shallow coral reefs and lagoons, often solitary or in small groups. Nocturnal, it feeds on invertebrates and small fish, and spawns in pairs.","body: The Indian Ocean oriental sweetlips has a moderately elongated body shape, typically growing up to 40 centimeters in length, with a relatively compressed body and a rounded abdomen; size: The average length is around 25-30 centimeters, with a maximum recorded length of approximately 45 centimeters; colors: The body is primarily brown to grayish-brown in color, often with a yellowish tint on the belly, and sometimes displaying a subtle horizontal stripe pattern on the sides; features: The species has a relatively small mouth, a convex dorsal profile, and a pointed snout, with a distinctive pattern of yellow stripes on the head and operculum, the dorsal fin is divided into two parts, with 10-11 spines in the first part and 9-10 soft rays in the second part; unique_marks: The most distinctive feature of the Indian Ocean oriental sweetlips is the yellow stripe pattern on the head, which forms a 'V' shape on the forehead, and the presence of relatively large scales that are rough to the touch.",Coral and rock reefs in Indian Ocean and western Pacific; depth range 2–25 m.,72,10,25,3.5
Blue ring angelfish,ปลาหงส์วงแหวน,Pomacanthus annularis,Perciformes,"The Blue ring angelfish is a large Indo-West Pacific species, reaching up to 45 cm. Adults display dark orange to violet bodies with a distinctive blue ring near the head, blue semicircular body marks, and two blue facial stripes; the caudal fin is white. Juveniles are dark blue with turquoise and white vertical stripes. Found on rocky coral reefs, caves, and wrecks at depths of 3–30 m, it often lives in harems and feeds on sponges, algae, tunicates, and zooplankton. Highly prized in aquariums, it is not recommended for reef tanks due to its grazing habits.","body: The Blue ring angelfish has a flat, oval-shaped body with a rounded abdomen and a slightly pointed snout, typically growing up to 10-15 inches in length; colors: The Blue ring angelfish is primarily yellow with vibrant blue stripes that run along its body, including a distinctive blue ring around its eye, and yellow fins with blue highlights; features: It has long, flowing dorsal and anal fins, as well as a long, pointed snout and small scales that reflect the light; unique_marks: The most distinctive feature of the Blue ring angelfish is the bright blue ring around its eye, which is a key identifying characteristic, along with its vibrant yellow and blue coloration pattern.","Coastal rocky coral reefs, caves, wrecks; Indo-West Pacific from East Africa to southern Japan, Indonesia, New Guinea, New Caledonia; depth range 3–30 m.",30,15,30,1.5
Emperor angelfish,ปลาหงส์จักรพรรดิ,Pomacanthus imperator,Perciformes,"The Emperor angelfish is a striking Indo-Pacific reef fish, growing up to 40 cm. Juveniles are dark blue with electric blue and white rings; adults display vibrant yellow and blue stripes with a black mask around the eyes. Found from the Red Sea to Hawaii and Australia, it inhabits coral-rich reefs at depths of 1–100 m. Omnivorous, it feeds mainly on sponges and algae, using strong jaws to chew tough food. Territorial adults make low-frequency sounds when disturbed. Popular in aquariums and among divers for its brilliant coloration.","body: The Emperor angelfish has a flat, oval-shaped body with a slightly compressed profile, typically growing to a size of 12-15 inches in length, with some specimens reaching up to 18 inches; colors: The Emperor angelfish displays striking yellow and blue stripes that run horizontally across its body, with a predominantly yellow face, blue stripes on the body, and long, flowing yellow fins, as well as a blue ring around the eye and blue highlights on the edges of the fins; features: The Emperor angelfish has long, pointed dorsal and anal fins, as well as large, feathery pectoral fins, and its head is rounded with a small mouth; unique_marks: A distinctive characteristic of the Emperor angelfish is the yellow and blue striped pattern, as well as the long, flowing fins that extend beyond the body, and a unique blue ring around the eye that distinguishes it from other angelfish species.",Coral reefs and lagoons; depth range 1–100 m (commonly 3–60 m).,35,16,100,1.4
Blueface angelfish,ปลาหงส์หน้ากากเหลือง,Pomacanthus xanthometopon,Perciformes,"Blueface angelfish is a striking Indo-Pacific reef fish, reaching up to 38 cm. Adults display a vibrant yellow face with a dense network of blue lines, pale blue scales edged in yellow, and large rounded yellow fins with blue margins. A distinctive black eyespot marks the base of the dorsal fin. Juveniles differ, showing vertical white bars and blue caudal stripes. Found on coral-rich lagoons and outer reef slopes from the Maldives to Australia and Japan, it prefers depths of 5–30 m, often near rocks and caves. Solitary or in pairs, it feeds on sponges, tunicates, and algae. Common and not threatened.","body: The Blueface angelfish has a flat, oval-shaped body with a moderate size, typically growing up to 15 inches in length; colors: Its body is primarily yellow with a vibrant blue face, including the lips, chin, and the area around the eyes, and blue highlights on the edges of the fins and the tail; features: It has long, flowing fins, particularly the dorsal and anal fins, and small scales; unique_marks: A distinctive characteristic of the Blueface angelfish is the vibrant blue stripe that runs across its face, from the mouth to the back of the head, and the yellow body with blue highlights on the fins.",Coral-rich lagoons and outer reef slopes across Indo-Pacific; depth range 5–30 m.,28,13,30,9
